Year;st;State; y90 ; y95 ; y99 ; y995 ; y999 ; y9999 
1917;0;United States; 31.876 ; 45.124 ; 110.892 ; 180.186 ; 619.693 ; 2.851.040 
1917;1;Alabama; 24.101 ; 32.749 ; 48.777 ; 72.058 ; 189.542 ; 722.996 
1917;3;Arizona; 36.862 ; 42.185 ; 102.175 ; 154.128 ; 408.907 ; 1.467.053 
1917;4;Arkansas; 31.014 ; 35.717 ; 62.373 ; 94.876 ; 227.887 ; 644.096 
1917;5;California; 37.078 ; 47.941 ; 128.241 ; 206.401 ; 618.165 ; 2.326.251 
1917;6;Colorado; 36.392 ; 38.724 ; 106.130 ; 158.627 ; 471.388 ; 2.196.099 
1917;7;Connecticut; 36.669 ; 42.743 ; 134.998 ; 237.133 ; 824.030 ; 3.369.012 
1917;8;Delaware; 34.878 ; 38.334 ; 128.067 ; 239.765 ; 1.237.399 ; 9.371.858 
1917;9;District of Columbia; 38.029 ; 56.772 ; 171.349 ; 273.636 ; 826.233 ; 3.002.466 
1917;10;Florida; 25.958 ; 34.215 ; 68.651 ; 103.838 ; 253.436 ; 923.118 
1917;11;Georgia; 27.690 ; 34.625 ; 65.672 ; 97.946 ; 251.553 ; 894.248 
1917;13;Idaho; 37.537 ; 38.641 ; 89.948 ; 127.316 ; 288.068 ; 1.037.111 
1917;14;Illinois; 36.625 ; 44.771 ; 115.332 ; 188.107 ; 639.216 ; 2.760.681 
1917;15;Indiana; 33.825 ; 37.496 ; 75.241 ; 106.444 ; 294.519 ; 1.240.205 
1917;16;Iowa; 38.166 ; 48.196 ; 101.462 ; 134.723 ; 295.637 ; 991.580 
1917;17;Kansas; 36.635 ; 38.540 ; 91.526 ; 127.118 ; 338.302 ; 1.268.227 
1917;18;Kentucky; 28.694 ; 34.960 ; 63.965 ; 96.877 ; 264.530 ; 1.119.209 
1917;19;Louisiana; 32.114 ; 36.670 ; 84.275 ; 133.482 ; 420.992 ; 1.453.814 
1917;20;Maine; 31.831 ; 36.525 ; 80.499 ; 132.613 ; 419.333 ; 1.608.807 
1917;21;Maryland; 35.273 ; 42.268 ; 144.394 ; 236.810 ; 764.242 ; 2.886.762 
1917;22;Massachusetts; 36.153 ; 38.729 ; 144.945 ; 268.985 ; 1.021.370 ; 4.067.626 
1917;23;Michigan; 34.008 ; 37.634 ; 84.080 ; 134.419 ; 448.952 ; 2.098.533 
1917;24;Minnesota; 36.386 ; 38.578 ; 90.249 ; 137.893 ; 481.746 ; 2.226.885 
1917;25;Mississippi; 29.641 ; 34.829 ; 49.285 ; 81.854 ; 240.319 ; 863.728 
1917;26;Missouri; 33.425 ; 37.594 ; 90.810 ; 142.680 ; 454.734 ; 1.930.505 
1917;27;Montana; 37.294 ; 45.060 ; 105.292 ; 149.022 ; 360.055 ; 1.101.468 
1917;28;Nebraska; 38.688 ; 59.196 ; 118.043 ; 157.911 ; 366.782 ; 1.124.619 
1917;29;Nevada; 37.051 ; 44.972 ; 97.598 ; 135.861 ; 304.950 ; 835.844 
1917;30;New Hampshire; 32.330 ; 36.877 ; 86.362 ; 139.701 ; 445.821 ; 1.678.439 
1917;31;New Jersey; 35.968 ; 42.284 ; 123.785 ; 207.605 ; 684.127 ; 3.083.438 
1917;32;New Mexico; 33.825 ; 37.204 ; 70.531 ; 108.037 ; 291.276 ; 1.336.978 
1917;33;New York; 37.349 ; 49.441 ; 178.125 ; 349.596 ; 1.317.994 ; 6.134.597 
1917;34;North Carolina; 27.373 ; 33.968 ; 53.520 ; 80.443 ; 205.144 ; 864.106 
1917;35;North Dakota; 37.331 ; 38.703 ; 90.557 ; 117.358 ; 245.634 ; 726.079 
1917;36;Ohio; 35.121 ; 38.099 ; 96.018 ; 159.519 ; 550.809 ; 2.402.150 
1917;37;Oklahoma; 34.541 ; 37.760 ; 85.976 ; 124.775 ; 354.456 ; 1.375.313 
1917;38;Oregon; 34.972 ; 38.013 ; 92.539 ; 141.179 ; 381.839 ; 1.424.189 
1917;39;Pennsylvania; 36.360 ; 38.567 ; 115.679 ; 203.513 ; 767.086 ; 3.560.637 
1917;40;Rhode Island; 36.738 ; 38.587 ; 130.350 ; 241.661 ; 912.316 ; 5.625.183 
1917;41;South Carolina; 32.285 ; 36.227 ; 61.742 ; 90.412 ; 207.777 ; 667.445 
1917;42;South Dakota; 47.820 ; 57.521 ; 105.401 ; 131.484 ; 234.788 ; 620.917 
1917;43;Tennessee; 26.505 ; 34.019 ; 62.016 ; 93.591 ; 270.970 ; 939.710 
1917;44;Texas; 32.057 ; 36.981 ; 83.277 ; 127.995 ; 328.184 ; 1.300.286 
1917;45;Utah; 35.513 ; 38.102 ; 89.857 ; 134.794 ; 364.557 ; 1.379.727 
1917;46;Vermont; 30.926 ; 36.142 ; 74.345 ; 116.821 ; 369.629 ; 2.026.191 
1917;47;Virginia; 30.057 ; 35.619 ; 67.630 ; 104.035 ; 304.536 ; 1.014.829 
